NACA0010			
Alpha	CL	CD	CM
0	0	0.00469	0
0.25	0.0262	0.0047	0.0005
0.5	0.0525	0.00472	0.0011
0.75	0.0786	0.00478	0.0016
1	0.1044	0.00489	0.0023
1.25	0.1304	0.005	0.0029
1.5	0.1562	0.00514	0.0035
1.75	0.1818	0.00534	0.0041
2	0.208	0.00552	0.0046
2.25	0.2347	0.00573	0.005
2.5	0.262	0.00596	0.0052
2.75	0.2908	0.00622	0.005
3	0.3227	0.0065	0.0041
3.25	0.3542	0.00679	0.0033
3.5	0.3888	0.00711	0.0017
3.75	0.4244	0.00744	-0.0002
4	0.4588	0.00779	-0.0018
4.25	0.492	0.00814	-0.0031
4.5	0.5272	0.00853	-0.0049
4.75	0.5619	0.00893	-0.0065
5	0.5967	0.00923	-0.0081
5.25	0.6255	0.00947	-0.0084
5.5	0.6483	0.00974	-0.0074
5.75	0.6706	0.0101	-0.0063
6	0.6936	0.01033	-0.0054
6.25	0.7169	0.01054	-0.0045
6.5	0.7402	0.01078	-0.0036
6.75	0.7635	0.01105	-0.0027
7	0.7868	0.01134	-0.0018
7.25	0.8093	0.01176	-0.0009
7.5	0.83	0.01245	0.0004
7.75	0.8548	0.0126	0.001
8	0.8794	0.01281	0.0016
8.25	0.9039	0.01307	0.0022
8.5	0.9285	0.01335	0.0027
8.75	0.9516	0.01384	0.0034
9	0.9747	0.01434	0.0041
9.25	1.0007	0.01448	0.0044
9.5	1.026	0.01471	0.0047
9.75	1.0509	0.01498	0.0051
10	1.0727	0.01568	0.0059
10.25	1.0975	0.01596	0.0063
10.5	1.122	0.01628	0.0068
10.75	1.1457	0.01669	0.0072
11	1.1652	0.01762	0.0083
11.25	1.188	0.01811	0.0089
11.5	1.2099	0.01868	0.0096
11.75	1.2313	0.01929	0.0103
12	1.2518	0.01997	0.0111
12.25	1.2696	0.02091	0.0122
12.5	1.2807	0.02249	0.0141
12.75	1.2991	0.02324	0.0151
13	1.3159	0.02409	0.0162
13.25	1.3311	0.02502	0.0175
13.5	1.3448	0.02599	0.0189
13.75	1.3547	0.02701	0.0208
14	1.3622	0.02814	0.0228
14.25	1.3679	0.02948	0.0247
14.5	1.3705	0.03117	0.0262
14.75	1.3695	0.03335	0.0273
15	1.364	0.03629	0.0276
15.25	1.3544	0.04017	0.0267
15.5	1.3403	0.0453	0.0243
15.75	1.3221	0.05179	0.0203
16	1.303	0.05898	0.0157
16.25	1.2811	0.06697	0.0106
16.5	1.2569	0.07548	0.0056
16.75	1.2294	0.08456	0.0005
17	1.1991	0.09421	-0.0046
17.25	1.1635	0.10491	-0.0102
20	0.6	0.21	-0.15
25	0.68	0.4	-0.13
30	0.84	0.59	-0.11
35	0.98	0.75	-0.09
40	1.02	0.95	-0.07
45	1.03	1.1	-0.06
50	1.02	1.26	-0.05
55	0.95	1.4	-0.045
60	0.86	1.5	-0.04
65	0.77	1.6	-0.035
70	0.63	1.68	-0.03
75	0.48	1.75	-0.02
80	0.35	1.78	-0.01
85	0.21	1.82	-0.005
90	0.1	1.84	0
95	-0.04	1.8	0.01
100	-0.17	1.75	0.02
105	-0.3	1.69	0.03
110	-0.42	1.65	0.04
115	-0.56	1.56	0.05
120	-0.68	1.49	0.06
125	-0.78	1.38	0.07
130	-0.87	1.25	0.08
135	-0.97	1.1	0.09
140	-0.98	0.95	0.1
145	-0.9	0.76	0.11
150	-0.76	0.59	0.12
155	-0.65	0.42	0.13
160	-0.63	0.31	0.14
165	-0.85	0.22	0.15
170	-0.91	0.11	0.11
175	-0.66	0.03	0.05
180	0	0.01	0
185	0.66	0.03	-0.05
190	0.91	0.11	-0.11
195	0.85	0.22	-0.15
200	0.63	0.31	-0.13
205	0.65	0.42	-0.11
210	0.76	0.59	-0.09
215	0.9	0.76	-0.08
220	0.98	0.95	-0.07
225	0.97	1.1	-0.06
230	0.87	1.25	-0.055
235	0.78	1.38	-0.05
240	0.68	1.49	-0.045
245	0.56	1.56	-0.04
250	0.42	1.65	-0.035
255	0.3	1.69	-0.03
260	0.17	1.75	-0.025
265	0.04	1.8	-0.015
270	-0.1	1.84	0
275	-0.21	1.82	0.005
280	-0.35	1.78	0.01
285	-0.48	1.75	0.02
290	-0.63	1.68	0.03
295	-0.77	1.6	0.045
300	-0.86	1.5	0.055
305	-0.95	1.4	0.065
310	-1.02	1.26	0.075
315	-1.03	1.1	0.085
320	-1.02	0.95	0.095
325	-0.98	0.75	0.105
335	-0.68	0.4	0.115
340	-0.6	0.21	0.125
342	-1.0039	0.15161	0.135
342.25	-1.0775	0.13031	0.0233
342.5	-1.1221	0.1168	0.0161
342.75	-1.1624	0.1048	0.0099
343	-1.1984	0.09402	0.0042
343.25	-1.2283	0.08447	-0.0008
343.5	-1.2553	0.07551	-0.0058
343.75	-1.2801	0.06692	-0.0109
344	-1.3026	0.05885	-0.016
344.25	-1.3211	0.05178	-0.0205
344.5	-1.3399	0.04522	-0.0245
344.75	-1.3531	0.04023	-0.0269
345	-1.3634	0.03627	-0.0278
345.25	-1.3685	0.03339	-0.0274
345.5	-1.3699	0.03118	-0.0263
345.75	-1.3672	0.02949	-0.0248
346	-1.3617	0.02814	-0.0229
346.25	-1.3544	0.027	-0.0209
346.5	-1.3446	0.02599	-0.0189
346.75	-1.331	0.025	-0.0175
347	-1.3156	0.02409	-0.0163
347.25	-1.2988	0.02324	-0.0151
347.5	-1.2804	0.02249	-0.0141
347.75	-1.2695	0.02091	-0.0123
348	-1.2517	0.01997	-0.0112
348.25	-1.2312	0.01929	-0.0103
348.5	-1.2099	0.01869	-0.0096
348.75	-1.188	0.01811	-0.0089
349	-1.1652	0.01763	-0.0083
349.25	-1.1457	0.0167	-0.0072
349.5	-1.122	0.01629	-0.0068
349.75	-1.0975	0.01596	-0.0063
350	-1.0727	0.01568	-0.0059
350.25	-1.0509	0.01498	-0.0051
350.5	-1.0259	0.01471	-0.0047
350.75	-1.0006	0.01448	-0.0044
351	-0.9748	0.01434	-0.0041
351.25	-0.9515	0.01384	-0.0034
351.5	-0.9284	0.01335	-0.0027
351.75	-0.9039	0.01307	-0.0022
352	-0.8794	0.01281	-0.0016
352.25	-0.8547	0.01261	-0.001
352.5	-0.83	0.01245	-0.0004
352.75	-0.8094	0.01176	0.0009
353	-0.7868	0.01134	0.0018
353.25	-0.7635	0.01105	0.0027
353.5	-0.7402	0.01079	0.0036
353.75	-0.717	0.01054	0.0045
354	-0.6937	0.01033	0.0054
354.25	-0.6706	0.0101	0.0063
354.5	-0.6483	0.00974	0.0074
354.75	-0.6255	0.00947	0.0084
355	-0.5967	0.00923	0.0081
355.25	-0.5618	0.00893	0.0065
355.5	-0.5272	0.00853	0.0049
355.75	-0.492	0.00814	0.0031
356	-0.4588	0.00779	0.0018
356.25	-0.4244	0.00744	0.0002
356.5	-0.3888	0.00711	-0.0017
356.75	-0.3541	0.00679	-0.0033
357	-0.3227	0.0065	-0.0041
357.25	-0.2908	0.00622	-0.005
357.5	-0.262	0.00596	-0.0052
357.75	-0.2347	0.00572	-0.005
358	-0.208	0.00552	-0.0046
358.25	-0.1818	0.00534	-0.0041
358.5	-0.1561	0.00515	-0.0035
358.75	-0.1303	0.005	-0.0029
359	-0.1044	0.00489	-0.0023
359.25	-0.0786	0.00478	-0.0016
359.5	-0.0524	0.00472	-0.0011
359.75	-0.0262	0.0047	-0.0005
360	0	0.00469	0
