FX-02-196			
Alpha	CL	CD	CM
0	0.4584	0.01312	-0.0965
0.25	0.4853	0.01321	-0.0966
0.5	0.5122	0.01328	-0.0967
0.75	0.5392	0.01335	-0.0968
1	0.5647	0.01351	-0.0966
1.25	0.5905	0.01363	-0.0966
1.5	0.6164	0.01374	-0.0965
1.75	0.6422	0.01384	-0.0964
2	0.6677	0.01397	-0.0962
2.25	0.6928	0.0141	-0.096
2.5	0.7177	0.01421	-0.0958
2.75	0.7418	0.01437	-0.0955
3	0.7657	0.01449	-0.0951
3.25	0.7896	0.01456	-0.0949
3.5	0.8131	0.01462	-0.0946
3.75	0.8355	0.01462	-0.0942
4	0.8575	0.01452	-0.0938
4.25	0.876	0.01471	-0.0924
4.5	0.8951	0.01492	-0.0913
4.75	0.9132	0.01519	-0.09
5	0.9308	0.01552	-0.0887
5.25	0.9481	0.01587	-0.0874
5.5	0.9649	0.01626	-0.0861
5.75	0.9811	0.0167	-0.0848
6	0.9973	0.01717	-0.0836
6.25	1.0129	0.01769	-0.0823
6.5	1.028	0.01828	-0.0811
6.75	1.0426	0.01892	-0.0799
7	1.0578	0.01957	-0.0788
7.25	1.0725	0.02028	-0.0778
7.5	1.087	0.02103	-0.0768
7.75	1.1011	0.02183	-0.0758
8	1.1135	0.02277	-0.0747
8.25	1.1251	0.02381	-0.0737
8.5	1.1364	0.0249	-0.0726
8.75	1.147	0.02607	-0.0717
9	1.1573	0.02732	-0.0707
9.25	1.1678	0.02857	-0.0698
9.5	1.1774	0.02991	-0.0689
9.75	1.1869	0.03131	-0.0681
10	1.197	0.03267	-0.0674
10.25	1.206	0.03416	-0.0666
10.5	1.2155	0.03564	-0.066
10.75	1.2237	0.03727	-0.0653
11	1.2325	0.03889	-0.0648
11.25	1.2405	0.04061	-0.0642
11.5	1.2488	0.04231	-0.0637
11.75	1.255	0.04427	-0.0632
12	1.2613	0.04618	-0.0627
12.25	1.2677	0.04809	-0.0622
12.5	1.269	0.04985	-0.0608
12.75	1.2724	0.05231	-0.0605
13	1.278	0.05457	-0.0603
13.25	1.282	0.05703	-0.0602
13.5	1.2853	0.05966	-0.0601
13.75	1.2901	0.06214	-0.0601
14	1.2939	0.06474	-0.0601
14.25	1.301	0.06707	-0.0603
14.5	1.3091	0.06927	-0.0605
14.75	1.3161	0.07161	-0.0607
15	1.3207	0.0743	-0.061
15.25	1.3261	0.07692	-0.0613
15.5	1.3316	0.07952	-0.0616
15.75	1.3355	0.08237	-0.0621
16	1.3376	0.08552	-0.0626
16.25	1.3409	0.08845	-0.063
20	1.2	0.21	-0.12
25	0.8	0.4	-0.11
30	0.84	0.59	-0.095
35	0.98	0.75	-0.08
40	1.02	0.95	-0.065
45	1.03	1.1	-0.05
50	1.02	1.26	-0.035
55	0.95	1.4	-0.02
60	0.86	1.5	-0.01
65	0.77	1.6	-0.005
70	0.63	1.68	0.005
75	0.48	1.75	0.01
80	0.35	1.78	0.02
85	0.21	1.82	0.025
90	0.1	1.84	0.03
95	-0.04	1.8	0.04
100	-0.17	1.75	0.055
105	-0.3	1.69	0.07
110	-0.42	1.65	0.085
115	-0.56	1.56	0.1
120	-0.68	1.49	0.115
125	-0.78	1.38	0.13
130	-0.87	1.25	0.145
135	-0.97	1.1	0.16
140	-0.98	0.95	0.17
145	-0.9	0.76	0.18
150	-0.76	0.59	0.165
155	-0.65	0.42	0.15
160	-0.63	0.31	0.135
165	-0.85	0.22	0.12
170	-0.91	0.11	0.11
175	-0.66	0.03	0.1
180	0	0.01	0.0965
185	0.66	0.03	0.09
190	0.91	0.11	0.07
195	0.85	0.22	0.03
200	0.63	0.31	-0.02
205	0.65	0.42	-0.06
210	0.76	0.59	-0.09
215	0.9	0.76	-0.11
220	0.98	0.95	-0.13
225	0.97	1.1	-0.145
230	0.87	1.25	-0.16
235	0.78	1.38	-0.17
240	0.68	1.49	-0.18
245	0.56	1.56	-0.15
250	0.42	1.65	-0.12
255	0.3	1.69	-0.09
260	0.17	1.75	-0.07
265	0.04	1.8	-0.05
275	-0.21	1.82	-0.03
280	-0.35	1.78	-0.025
285	-0.48	1.75	-0.03
290	-0.63	1.68	-0.035
295	-0.77	1.6	-0.045
300	-0.86	1.5	-0.06
305	-0.95	1.4	-0.075
310	-1.02	1.26	-0.09
315	-1.03	1.1	-0.105
320	-1.02	0.95	-0.12
325	-0.98	0.75	-0.135
330	-0.84	0.59	-0.145
335	-0.7	0.4	-0.155
340	-0.4	0.15	-0.14
340.5	-0.7	0.11323	-0.125
